Fecha,Turno,Horario,Tecnólogos asignados,Ingeniero asignado,Notas
2025-05-01,Mañana,06:00-14:00,"T13, T4, T3, T5, T8",I4,Turnos
2025-05-01,Tarde,14:00-22:00,"T6, T12, T9, T10, T11",I2,Turnos
2025-05-01,Noche,22:00-06:00,"T1, T2",I3,Turnos
2025-05-02,Mañana,06:00-14:00,"T5, T9, T7, T8, T11",,Turnos
2025-05-02,Tarde,14:00-22:00,"T6, T3, T2, T1, T12",I1,Turnos
2025-05-02,Noche,22:00-06:00,"T4, T10",I2,Turnos
2025-05-03,Mañana,06:00-14:00,"T1, T11, T12, T13, T2",I3,Turnos
2025-05-03,Tarde,14:00-22:00,"T7, T8, T9, T10, T3",I4,Turnos
2025-05-03,Noche,22:00-06:00,"T5, T6",I1,Turnos
2025-05-04,Mañana,06:00-14:00,"T4, T2, T11, T12, T13",I2,Turnos
2025-05-04,Tarde,14:00-22:00,"T9, T10, T1, T3, T5",I3,Turnos
2025-05-04,Noche,22:00-06:00,"T7, T8",I4,Turnos
2025-05-05,Mañana,06:00-14:00,"T4, T2, T1, T13",I1,Turnos
2025-05-05,Tarde,14:00-22:00,"T3, T5, T12, T11, T7",I2,Turnos
2025-05-05,Noche,22:00-06:00,"T9, T10",I3,Turnos
2025-05-06,Mañana,06:00-14:00,"T8, T13, T7, T1",I4,Turnos
2025-05-06,Tarde,14:00-22:00,"T4, T3, T2, T5, T6",I1,Turnos
2025-05-06,Noche,22:00-06:00,"T11, T12",I2,Turnos
2025-05-07,Mañana,06:00-14:00,"T10, T9, T7, T8, T2",I3,Turnos
2025-05-07,Tarde,14:00-22:00,"T1, T3, T4, T5, T6",I4,Turnos
2025-05-07,Noche,22:00-06:00,"T13, T11",I1,Turnos
2025-05-08,Mañana,06:00-14:00,"T10, T9, T5, T6, T4",I2,Turnos
2025-05-08,Tarde,14:00-22:00,"T8, T2, T7, T12, T13",I3,Turnos
2025-05-08,Noche,22:00-06:00,"T3, T11",I4,Turnos
2025-05-09,Mañana,06:00-14:00,"T10, T1, T9, T6, T13",I1,Turnos
2025-05-09,Tarde,14:00-22:00,"T8, T7, T11, T12, T3",I2,Turnos
2025-05-09,Noche,22:00-06:00,"T4, T5",I3,Turnos
2025-05-10,Mañana,06:00-14:00,"T1, T2, T12, T13, T3",I4,Turnos
2025-05-10,Tarde,14:00-22:00,"T8, T9, T10, T11, T5",I1,Turnos
2025-05-10,Noche,22:00-06:00,"T6, T7",I2,Turnos
2025-05-11,Mañana,06:00-14:00,"T3, T1, T12, T13, T5",I3,Turnos
2025-05-11,Tarde,14:00-22:00,"T2, T4, T10, T11, T9",I4,Turnos
2025-05-11,Noche,22:00-06:00,"T8, T6",I1,Turnos
2025-05-12,Mañana,06:00-14:00,"T3, T12, T5, T7",I2,Turnos
2025-05-12,Tarde,14:00-22:00,"T13, T9, T4, T2, T10",I3,Turnos
2025-05-12,Noche,22:00-06:00,"T1, T6",I4,Turnos
2025-05-13,Mañana,06:00-14:00,"T7, T5, T8, T10",I1,Turnos
2025-05-13,Tarde,14:00-22:00,"T6, T3, T4, T2, T9",I2,Turnos
2025-05-13,Noche,22:00-06:00,"T12, T13",I3,Turnos
2025-05-14,Mañana,06:00-14:00,"T8, T7, T9, T11",I4,Turnos
2025-05-14,Tarde,14:00-22:00,"T4, T3, T10, T5, T6",I1,Turnos
2025-05-14,Noche,22:00-06:00,"T1, T2",I2,Turnos
2025-05-15,Mañana,06:00-14:00,"T9, T13, T7, T8, T11",I3,Turnos
2025-05-15,Tarde,14:00-22:00,"T10, T5, T6, T12, T1",I4,Turnos
2025-05-15,Noche,22:00-06:00,"T3, T4",I1,Turnos
2025-05-16,Mañana,06:00-14:00,"T2, T9, T13, T7, T11",I2,Turnos
2025-05-16,Tarde,14:00-22:00,"T10, T6, T1, T12, T4",I3,Turnos
2025-05-16,Noche,22:00-06:00,"T5, T8",I4,Turnos
2025-05-17,Mañana,06:00-14:00,"T3, T4, T2, T1, T12",I1,Turnos
2025-05-17,Tarde,14:00-22:00,"T10, T9, T11, T13, T5",I2,Turnos
2025-05-17,Noche,22:00-06:00,"T7, T8",I3,Turnos
2025-05-18,Mañana,06:00-14:00,"T6, T4, T3, T12",I4,Turnos
2025-05-18,Tarde,14:00-22:00,"T11, T1, T5, T9, T7",I1,Turnos
2025-05-18,Noche,22:00-06:00,"T10, T2",I2,Turnos
2025-05-19,Mañana,06:00-14:00,"T8, T6, T7, T11",I3,Turnos
2025-05-19,Tarde,14:00-22:00,"T1, T3, T5, T9, T4",I4,Turnos
2025-05-19,Noche,22:00-06:00,"T12, T13",I1,Turnos
2025-05-20,Mañana,06:00-14:00,"T6, T10, T2, T4",I2,Turnos
2025-05-20,Tarde,14:00-22:00,"T9, T1, T3, T5, T7",I3,Turnos
2025-05-20,Noche,22:00-06:00,"T13, T8",I4,Turnos
2025-05-21,Mañana,06:00-14:00,"T11, T12, T4, T10, T6",I1,Turnos
2025-05-21,Tarde,14:00-22:00,"T8, T9, T7, T5, T13",I2,Turnos
2025-05-21,Noche,22:00-06:00,"T2, T3",I3,Turnos
2025-05-22,Mañana,06:00-14:00,"T5, T1, T10, T13, T6",I4,Turnos
2025-05-22,Tarde,14:00-22:00,"T8, T7, T11, T12, T2",I1,Turnos
2025-05-22,Noche,22:00-06:00,"T4, T9",I2,Turnos
2025-05-23,Mañana,06:00-14:00,"T3, T1, T10, T13",I3,Turnos
2025-05-23,Tarde,14:00-22:00,"T2, T8, T11, T12, T4",I4,Turnos
2025-05-23,Noche,22:00-06:00,"T6, T7",I1,Turnos
2025-05-24,Mañana,06:00-14:00,"T5, T12, T1, T3, T4",I2,Turnos
2025-05-24,Tarde,14:00-22:00,"T10, T11, T13, T2, T7",I3,Turnos
2025-05-24,Noche,22:00-06:00,"T8, T9",I4,Turnos
2025-05-25,Mañana,06:00-14:00,"T6, T5, T3, T12, T4",I1,Turnos
2025-05-25,Tarde,14:00-22:00,"T7, T13, T2, T8, T1",I2,Turnos
2025-05-25,Noche,22:00-06:00,"T10, T11",I3,Turnos
2025-05-26,Mañana,06:00-14:00,"T9, T5, T8, T4, T7",I4,Turnos
2025-05-26,Tarde,14:00-22:00,"T11, T6, T1, T2, T3",I1,Turnos
2025-05-26,Noche,22:00-06:00,"T12, T13",I2,Turnos
2025-05-27,Mañana,06:00-14:00,"T9, T10, T5, T7, T8",I3,Turnos
2025-05-27,Tarde,14:00-22:00,"T11, T6, T3, T4, T13",I4,Turnos
2025-05-27,Noche,22:00-06:00,"T1, T2",I1,Turnos
2025-05-28,Mañana,06:00-14:00,"T9, T10, T12, T11",I2,Turnos
2025-05-28,Tarde,14:00-22:00,"T5, T13, T7, T8, T6",I3,Turnos
2025-05-28,Noche,22:00-06:00,"T4, T1",I4,Turnos
2025-05-29,Mañana,06:00-14:00,"T9, T2, T1, T10, T11",I1,Turnos
2025-05-29,Tarde,14:00-22:00,"T13, T7, T8, T6, T3",I2,Turnos
2025-05-29,Noche,22:00-06:00,"T5, T12",I3,Turnos
2025-05-30,Mañana,06:00-14:00,"T4, T9, T2, T1, T10",I4,Turnos
2025-05-30,Tarde,14:00-22:00,"T8, T13, T11, T12, T6",I1,Turnos
2025-05-30,Noche,22:00-06:00,"T7, T3",I2,Turnos
2025-05-31,Mañana,06:00-14:00,"T13, T11, T6, T2, T1",I3,Turnos
2025-05-31,Tarde,14:00-22:00,"T4, T5, T12, T7, T9",I4,Turnos
2025-05-31,Noche,22:00-06:00,"T10, T3",I1,Turnos
